Comunidad Autónoma,Municipio_ZBE,Distintivo_vehículo,Tipo_vehículo,Peso_vehículo,Perfil_vehículo,Acceso_ZBE,Días_acceso,Horario_acceso,Comentario/Observación,URL_ordenanza,Vigencia_ordenanza
Galicia,A Coruña,0,autobus,hasta_3500,particular,LIBRE,,,,,
Galicia,A Coruña,0,autobus,hasta_3500,garaje-propio,LIBRE,,,,,
Galicia,A Coruña,0,autobus,hasta_3500,menor-escolar,LIBRE,,,,,
Galicia,A Coruña,0,autobus,hasta_3500,empresa,LIBRE,,,,,
Galicia,A Coruña,0,autobus,hasta_3500,autonomo,LIBRE,,,,,
Galicia,A Coruña,0,autobus,hasta_3500,mudanza,LIBRE,,,,,
Galicia,A Coruña,0,autobus,hasta_3500,autoescuela,LIBRE,,,,,
Galicia,A Coruña,0,autobus,hasta_3500,especiales-emergencia,LIBRE,,,,,
Galicia,A Coruña,0,autobus,hasta_3500,policia-guardia-civil-fuerzas-armadas,LIBRE,,,,,
Galicia,A Coruña,0,autobus,hasta_3500,transporte-publico,LIBRE,,,,,
Galicia,A Coruña,0,autobus,hasta_3500,servicio-municipal,LIBRE,,,,,
Galicia,A Coruña,0,autobus,3500_a_7500,particular,LIBRE,,,,,
Galicia,A Coruña,0,autobus,3500_a_7500,garaje-propio,LIBRE,,,,,
Galicia,A Coruña,0,autobus,3500_a_7500,menor-escolar,LIBRE,,,,,
Galicia,A Coruña,0,autobus,3500_a_7500,empresa,LIBRE,,,,,
Galicia,A Coruña,0,autobus,3500_a_7500,autonomo,LIBRE,,,,,
Galicia,A Coruña,0,autobus,3500_a_7500,mudanza,LIBRE,,,,,
Galicia,A Coruña,0,autobus,3500_a_7500,autoescuela,LIBRE,,,,,
Galicia,A Coruña,0,autobus,3500_a_7500,especiales-emergencia,LIBRE,,,,,
Galicia,A Coruña,0,autobus,3500_a_7500,policia-guardia-civil-fuerzas-armadas,LIBRE,,,,,
Galicia,A Coruña,0,autobus,3500_a_7500,transporte-publico,LIBRE,,,,,
Galicia,A Coruña,0,autobus,3500_a_7500,servicio-municipal,LIBRE,,,,,
Galicia,A Coruña,0,autobus,mas_7500,particular,LIBRE,,,,,
Galicia,A Coruña,0,autobus,mas_7500,garaje-propio,LIBRE,,,,,
Galicia,A Coruña,0,autobus,mas_7500,menor-escolar,LIBRE,,,,,
Galicia,A Coruña,0,autobus,mas_7500,empresa,LIBRE,,,,,
Galicia,A Coruña,0,autobus,mas_7500,autonomo,LIBRE,,,,,
Galicia,A Coruña,0,autobus,mas_7500,mudanza,LIBRE,,,,,
Galicia,A Coruña,0,autobus,mas_7500,autoescuela,LIBRE,,,,,
Galicia,A Coruña,0,autobus,mas_7500,especiales-emergencia,LIBRE,,,,,
Galicia,A Coruña,0,autobus,mas_7500,policia-guardia-civil-fuerzas-armadas,LIBRE,,,,,
Galicia,A Coruña,0,autobus,mas_7500,transporte-publico,LIBRE,,,,,
Galicia,A Coruña,0,autobus,mas_7500,servicio-municipal,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,particular,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,garaje-propio,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,carga-descarga,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,empresa,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,autonomo,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,obras,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,mudanza,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,autoescuela,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,transporte-sanitario,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,especiales-emergencia,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,policia-guardia-civil-fuerzas-armadas,LIBRE,,,,,
Galicia,A Coruña,0,camion,hasta_3500,servicio-municipal,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,particular,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,garaje-propio,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,carga-descarga,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,empresa,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,autonomo,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,obras,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,mudanza,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,autoescuela,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,transporte-sanitario,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,especiales-emergencia,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,policia-guardia-civil-fuerzas-armadas,LIBRE,,,,,
Galicia,A Coruña,0,camion,3500_a_7500,servicio-municipal,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,particular,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,garaje-propio,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,carga-descarga,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,empresa,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,autonomo,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,obras,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,mudanza,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,autoescuela,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,transporte-sanitario,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,especiales-emergencia,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,policia-guardia-civil-fuerzas-armadas,LIBRE,,,,,
Galicia,A Coruña,0,camion,mas_7500,servicio-municipal,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,particular,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,residente,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,garaje-propio,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,invitado-residente,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,movilidad-reducida,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,paciente-medico,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,menor-escolar,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,vtc,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,taxi,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,carga-descarga,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,empresa,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,autonomo,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,obras,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,mudanza,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,autoescuela,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,transporte-sanitario,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,transporte-funerario,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,especiales-emergencia,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,policia-guardia-civil-fuerzas-armadas,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,transporte-publico,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,servicio-municipal,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,hasta_3500,vehiculo-historico,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,particular,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,residente,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,garaje-propio,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,invitado-residente,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,movilidad-reducida,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,paciente-medico,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,menor-escolar,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,vtc,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,taxi,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,carga-descarga,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,empresa,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,autonomo,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,obras,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,mudanza,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,autoescuela,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,transporte-sanitario,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,transporte-funerario,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,especiales-emergencia,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,policia-guardia-civil-fuerzas-armadas,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,transporte-publico,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,servicio-municipal,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,3500_a_7500,vehiculo-historico,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,particular,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,residente,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,garaje-propio,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,invitado-residente,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,movilidad-reducida,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,paciente-medico,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,menor-escolar,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,vtc,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,taxi,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,carga-descarga,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,empresa,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,autonomo,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,obras,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,mudanza,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,autoescuela,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,transporte-sanitario,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,transporte-funerario,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,especiales-emergencia,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,policia-guardia-civil-fuerzas-armadas,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,transporte-publico,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,servicio-municipal,LIBRE,,,,,
Galicia,A Coruña,0,furgoneta,mas_7500,vehiculo-historico,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,residente,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,garaje-propio,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,invitado-residente,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,movilidad-reducida,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,paciente-medico,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,menor-escolar,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,carga-descarga,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,autonomo,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,autoescuela,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,servicio-municipal,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,vehiculo-historico,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,obras,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,empresa,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,particular,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,policia-guardia-civil-fuerzas-armadas,LIBRE,,,,,
Galicia,A Coruña,0,moto,hasta_3500,especiales-emergencia,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,particular,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,residente,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,garaje-propio,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,invitado-residente,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,movilidad-reducida,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,paciente-medico,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,menor-escolar,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,taxi,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,carga-descarga,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,autonomo,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,mudanza,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,autoescuela,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,transporte-sanitario,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,transporte-funerario,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,servicio-municipal,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,vehiculo-historico,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,obras,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,vtc,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,empresa,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,especiales-emergencia,LIBRE,,,,,
Galicia,A Coruña,0,turismo,hasta_3500,policia-guardia-civil-fuerzas-armadas,LIBRE,,,,,
Galicia,A Coruña,B,autobus,hasta_3500,particular,LIBRE,,,,,
